Devis_ID	Unité	Client	Type_Travail	Montant_HT	Coefficient	Numéro_OA	Count_OA	Statut	État	Description	Date_RFQ	Acheteur
PI124176	SABC_Ndokoti	Boissons du Cameroun	Fourniture	1231680	1.5	Lost	0	Terminé	Closed	PDR pour Asservissement lubrification zone Pal-Dpal	2024-05-07	Cedric NGAKAM
PI22600	SABC_Bafoussam	Boissons du Cameroun	Placement_RH	669162	1.5	Regul	1	Terminé	Closed	TRAVAUX D'ENTRETIEN FIN DE SEMAINE 52	2022-12-31	Anicet GHISLAIN FOKA
PI23000	SABC_Yaounde	Boissons du Cameroun	Placement_RH	3600000	1	3359069	1	Terminé	Closed	ASSISTANCE METROLOGUE (MAINTENANCE DES EQUIPEMENTS DE CONTROLE)	2023-12-31	Olivier Talteng
PI23010	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	3367630	2	7300000699	1	Terminé	Closed	REHABILITATION DES SIRENES D'ALARME MBOPPI/PORT DE PECHE	2023-12-31	Francois OUNKAP
PI23043	GRACEDOM Souza	Gracedom Invest	Installation	1230000	1.5	P00639	1	Terminé	Closed	intervention automaticien usine COCA COLA Spuza	2023-03-26	LOOH NDI SONDO
PI23048	GRACEDOM Souza	Gracedom Invest	Formation	6375000	2	P00106	1	Terminé	Closed	formation type initiation à l'automatisme industrielle orientation maintenance usine COCA COLA Souza	2023-03-26	Raoul Djampou
PI23052	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	1983792	1.5	7300000696	1	Terminé	Closed	REHABILITATION DES PROJECTEURS DES MIRADORS	2023-12-07	Francois OUNKAP
PI23054	SABC_Bafoussam	Boissons du Cameroun	Fourniture_Pose	2598000	1.6	3392581	1	Terminé	Closed	fourniture et installation des lampadaires solaires 100w et 80wAU CC Bafoussam autonomie 12H usine de Bafoussam	2023-04-19	Joseph DJIEUBOU 
PI23061	SABC_Bafoussam	Boissons du Cameroun	Fourniture_Pose	2954000	1.8	3392572	1	Terminé	Closed	fourniture et installation des lampadaires solaires 100w et 80wAU CC Bafoussam autonomie 12H usine de Bafoussam	2023-04-19	Joseph DJIEUBOU 
PI23064	SABC_Yaounde	Boissons du Cameroun	Placement_RH	921000	1.8	3378895	1	Terminé	Closed	travaux d'assistance technique, mise en service agitateurs dans les conges sirop pour production ORANGINA usine de Yaoundé	2023-05-15	Hassan FOUAPON KOUOTOU
PI23081	SIAC	Boissons du Cameroun	Fourniture_Pose	141300	1.4	3407305	1	Terminé	Closed	maintenance éclairage salle réunion et installation électrique pour exploitation d'une cafétière	2023-10-20	Christel TCHATO
PI23084	SABC_Koumassi	Boissons du Cameroun	Formation	12000299	1.7	3407190	1	Terminé	Closed	Formation TIA PORTAL - SABC	2023-07-04	Jeanny Orelie TIENTCHEU 
PI23084A	SABC_Bafoussam	Boissons du Cameroun	Placement_RH	67500	2	Lost	0	Terminé	Closed	TRAVAUX POUR ENTRETIEN FIN DE SEMAINE 46  DES CHAINES 4 et 6	2023-11-18	Aurelien Kouanda Missambi
PI23087	SABC_Bafoussam	Boissons du Cameroun	Placement_RH	67500	2	3428954	1	Terminé	Closed	Travaux pour entretien fin semaine 52 chaine 6	2023-12-26	Joseph DJIEUBOU 
PI23090	PROCUBEST	PROCUBEST	Fourniture_Pose	2853803.42	1.2	Lost	0	Terminé	Closed	Mise a Niveau Parc Adduction d'eau CAMWATER	2023-12-24	Albert Dipita
PI23091	SABC_Bafoussam	Boissons du Cameroun	Fourniture_Pose	3390000	3	Lost	0	Terminé	Closed	SIMATIC MICROBOS PC 427B-RTX POUR TRANSPORTEUR DE BOUTEILLES CHAINE 5. AVEC L'ASSISTANCE OBLIGATOIRE D'UN MONTEUR POUR MISE EN SERVICE.	2023-12-20	Jean Bossango
PI23233	SEMC	SEMC	Fourniture_Pose	3102356	1.4	3375790	1	Terminé	Closed	mise en place des interrupteurs de sécurité pour motopompe TDE SGX (ILS)	2023-05-03	Rosine Kati
PI23274	SEMC	SEMC	Fourniture_Pose	3476550	1.6	3393892	1	Terminé	Closed	consultation pour pose de centrale de mesure	2023-08-23	Rosine Kati
PI23290	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	1485180	1.3	CM40006308	1	Terminé	Closed	Supply of MULTIMETER - ELECTRICAL	2023-10-12	Benjamin N. Eteh
PI23298	SABC_Ndokoti	Boissons du Cameroun	Fourniture	1745000	1.5	3401511	1	Terminé	Closed	demande de prix 3188285 - projecteurs LED	2023-10-23	Cedric NGAKAM
PI23323	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	770000	1.3	CM42008482	1	Terminé	Closed	DCC230210 - supply and install amplifier at the gate	2023-07-15	Benjamin N. Eteh
PI23356	SIAC	Boissons du Cameroun	Fourniture_Pose	1407834	1.6	3395896	1	Terminé	Closed	automate de gestion de la distributiondes eaux et du réseau incendie SIAC est en arrêt	2023-09-08	Christel TCHATO
PI23364	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	46200	1.4	Regul	1	Terminé	Closed	Furniture of  - Gas Fittings	2023-08-25	Iloga Gerard
PI23385	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	1428267	1.7	CM42008210I	1	Terminé	Closed	DIGITAL GAUGE WITH DATA LOGGER	2023-10-06	Benjamin N. Eteh
PI23386	SABC_Bafoussam	Boissons du Cameroun	Fourniture	3952384	1.6	OA3394311	1	Terminé	Closed	Remise en service des electrovannes	2023-09-08	Jean Bossango
PI23391	DANGOTE_BAF	DANGOTE CEMENT SA	Fourniture_Pose	1343923	1.2	CM42008380	1	Terminé	Closed	Supply & Installation of solar lighting at Dibombari	2023-09-14	Benjamin N. Eteh
PI23395	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	1692800	1.6	CM42008320	1	Terminé	Closed	Supply of DUST MEASURE DEVICE USEPA PM10/PM2.5	2023-12-06	Benjamin N. Eteh
PI23399	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	1264320	1.25	CM40006245	1	Terminé	Closed	DCC 230283 - Smoke Detector & Distill Water	2023-09-19	Benjamin N. Eteh
PI23458	SABC_Yaounde	Boissons du Cameroun	Fourniture	956880	1.5	3379122	1	Terminé	Closed	Demande de prix 3173201 détecteur 	2023-05-16	Michel KAMGA DZETCHU 
PI23458-1	SABC_Yaounde	Boissons du Cameroun	Fourniture	0	1.3	3379122	1	Terminé	Closed	POUR CONDITIONNEMENT CHAINE 2 MIXTE	2023-05-16	
PI23463	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	48000	1.4	Regul	1	Terminé	Closed	Furniture of 16sqmm x 12mm cable lug	2023-05-24	Benjamin N. Eteh
PI23475	SABC_Yaounde	Boissons du Cameroun	Fourniture	2560000	1.6	3379456	1	Terminé	Closed	PI23475 - COMMANDE ÉLECTROVANNE (ex OA3379456)	2023-07-07	
PI23501	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	350400	1.3	CM40006291	1	Terminé	Closed	DCC 230284 - Supply of Battery, Radio, PMNN4415AR, MOTOROLA	2023-09-22	Benjamin N. Eteh
PI23538	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	156800	1	CM42008288	1	Terminé	Closed	fourniture	2023-10-25	Benjamin N. Eteh
PI23540	DANGOTE_Dla	DANGOTE CEMENT SA	Installation	952000	1.4	CM42008385	1	Terminé	Closed	REHABILITATION OF OUTDOOR LIGHTING (18m Poles - Plant & Jetty)	2023-09-26	Benjamin N. Eteh
PI23542	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	1106000	1.3	CM42008383	1	Terminé	Closed	DCC 230320 - Supply of loto device, lock boxes - HSE	2023-10-30	Benjamin N. Eteh
PI23545	SABC_Bafoussam	Boissons du Cameroun	Fourniture	693984	1.4	3403859	1	Terminé	Closed	DP3185526	2023-10-30	Jean Bossango
PI23552	SABC_Ndokoti	Boissons du Cameroun	Reparation	300000	1.3	3405262	1	Terminé	Closed	dépannage d'une console Elitebook B40 G3	2023-11-02	Hassan FOUAPON KOUOTOU
PI23560	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	450000	1.3	CM40006343	1	Terminé	Closed	Solenoid Valve	2023-11-15	Catherine TOTO
PI23561	SOCAVER	Societe Camerounaise des Verrieries	Metrologie	1242000	1.5	3408694	1	Terminé	Closed	vérification métrologique des thermomètres infrarouges	2023-11-22	Thierry Ekendjoum
PI23565	SIAC	Boissons du Cameroun	Fourniture_Pose	275000	1.4	3372949	1	Terminé	Closed	coffret polyester 820*610*300	2023-06-01	Christel TCHATO
PI23567	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	1468800	1.6	Lost	0	Terminé	Closed	Iniator REP. NCN4-12 GM60-B3-C2-V1-Y2263 - ELECTRICAL	2023-12-19	Benjamin N. Eteh
PI23568	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	3101150	1.3	Lost	0	Terminé	Closed	Replacement of AC supply cables - ELECTRICAL	2023-12-27	Benjamin N. Eteh
PI23569	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	3441568	1.6	CM42008584	1	Terminé	Closed	Supply & Installation COM UNIT 560CMR01 R0002@SS - ELECTRICAL	2023-12-21	Benjamin N. Eteh
PI23570	SABC_Yaounde	Boissons du Cameroun	Fourniture	3885000	1.4	Lost	0	Terminé	Closed	CABLE POUR TRAVAUX D'ECLAIRAGE LOCAL TGBT CHAINE 9	2023-12-26	Rosine Kati
PI23571	SABC_Ndokoti	Boissons du Cameroun	Fourniture	512260	1.6	Lost	0	Terminé	Closed	PDR POUR REMPLACEMENT DES RELAIS MINIATURES OBSOLETES	2023-12-26	Jean Bossango
PI23572	SEMC	SEMC	Fourniture	1726240	1.6	Lost	0	Terminé	Closed	COMMANDE REMPLACER MEGOHMETRE DEFECTUEUX USINE SEMC	2023-12-26	Rosine Kati
PI23573	SEMC	SEMC	Fourniture	4730600	1.6	Lost	0	Terminé	Closed	COMMANDE COMPTEUR POUR RESEAU SERVITUDE USINE SEMC	2023-12-29	Jean Bossango
PI23574	SABC_Yaounde	Boissons du Cameroun	Fourniture	734080	1.6	3415687	1	Terminé	Closed	PDR POUR SOUTIREUSE ET ETQ CH7	2023-12-29	Jean Bossango
PI23574A	SABC_Ndokoti	Boissons du Cameroun	Fourniture	734080	1.6	Lost	0	Terminé	Closed	PDR POUR SOUTIREUSE ET ETQ CH7	2023-12-29	Jean Bossango
PI23604	DIXSTONE	Dixstone Operations Cameroun	Fourniture	2404500	1.3	4502205789	1	Terminé	Closed	demande de devis MR-3492-STIM	2023-10-25	Alex Amoutse
PI23613	BOCOM 	BOCOM PETROLEUM SA	Fourniture	275600	1.3	0004642	1	Terminé	Closed	Fourniture du matériel	2023-12-28	Valdyce Mbogoum
PI23614	BOCOM 	BOCOM PETROLEUM SA	Fourniture	624000	1.3	0000399	1	Terminé	Closed	Fourniture du matériel	2023-12-28	Valdyce Mbogoum
PI23615	BOCOM 	BOCOM PETROLEUM SA	Fourniture	50700	1.3	aucun	1	Terminé	Closed	Fourniture du matériel	2023-12-28	Valdyce Mbogoum
PI23722	BOCOM 	BOCOM PETROLEUM SA	Fourniture	6565033	1.6	0003566	1	Terminé	Closed	fourniture boutons et lampes	2023-04-27	Valdyce Mbogoum
PI23728	SEMC	SEMC	Fourniture_Pose	4869260	1.1000000000000001	Lost	0	Terminé	Closed	MISE EN CONFORMITE DES INSTALLATIONS ELECTRIQUE	2023-12-31	Rosine Kati
PI23738	SABC_Bafoussam	Boissons du Cameroun	Fourniture	120000	1.5	3428954	1	Terminé	Closed	Fourniture selon la DI 190992	2023-12-06	Joseph DJIEUBOU 
PI23741	SABC_Bafoussam	Boissons du Cameroun	Fourniture	379950	2.5299999999999998	Regul	1	Terminé	Closed	Fourniture des bagues d'étanchéité	2023-07-14	Joseph DJIEUBOU 
PI23756	SOCAPALM_Eseka	SOCAPALM	Fourniture_Pose	12075178	1.55	271/2023	1	Terminé	Closed	ARMOIRE CLARIFICATION EXTENSION USINE	2023-08-31	Emmanuel Biyong
PI23760	BOCOM 	BOCOM PETROLEUM SA	Fourniture	2570000	1.3	0003788	1	Terminé	Closed	fourniture disjoncteurs et autres	2023-03-01	Valdyce Mbogoum
PI23766	SCDP Depot de Bessengue	SCDP	Fourniture	5731200	2	7300000640	1	Terminé	Closed	LAMPES TORCHES ATEX	2023-09-19	Marie-line Ntyame
PI23767	SIAC	Boissons du Cameroun	Fourniture_Pose	833004	2	3404248	1	Terminé	Closed	fourniture et pose d'un coffret prises	2023-08-30	Christel TCHATO
PI23768	SABC_Ndokoti	Boissons du Cameroun	Fourniture_Pose	3402794	1.8	3402847	1	Terminé	Closed	travaux de raccordement électrique bâche CO2 usine Ndokoti	2023-09-26	François Atangana
PI23778	SIAC	Boissons du Cameroun	Fourniture_Pose	599569	1.5	3404248	1	Terminé	Closed	déplacement coffret inverseur et dépose coffret téléphonie	2023-10-06	Christel TCHATO
PI23783	SEMC	SEMC	Fourniture_Pose	4375634	1.45	3409937	1	Terminé	Closed	CONSULTATION  POSE DE COFFRETS - ELECTRIQUES BATIMENTS USINE SEMC	2023-10-18	Ruth Ngo Makoumba
PI23785	SIAC	Boissons du Cameroun	Fourniture_Pose	583050	1.4	3420584	1	Terminé	Closed	Travaux de déplacement coffret magasin alcool et remplacement disjoncteurs	2023-12-19	Christel TCHATO
PI23802	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	48772053	1.5	041	1	Terminé	Closed	Systeme d'AU: SCDP Bessengue, Deido, Bonabéri, Bafoussam, Ngaoundéré, Garoua Maroua	2023-12-31	
PI23807	SCDP Depot de Nsam	SCDP	Fourniture_Pose	46114029	1.2	052	1	Terminé	Closed	FOURNITURE, INSTALLATION, ESSAIS ET MISE EN SERVICE SYSTEMES DE PROTECTION CONTRE LA FOUDRE (SCDP NSAM) PHASE 1	2022-10-14	
PI23880	SIAC	Boissons du Cameroun	Fourniture_Pose	675000	2	3407307	1	Terminé	Closed	contrôle des installations électriques RAP02_ELEC131882	2023-11-07	Christel TCHATO
PI23885	SIAC	Boissons du Cameroun	Fourniture_Pose	430000	1.35	3411852	1	Terminé	Closed	TRAVAUX DE MISE CONFORMITE COFFRET SUITE CONTRÔLE THERMOGRAPHIE APAVE	2023-12-09	Christel TCHATO
PI23887	SIAC	Boissons du Cameroun	Fourniture_Pose	308160	1.4	3420583	1	Terminé	Closed	RENOVATION COFFRET ONDULEUR MAGASIN RESINE	2023-12-19	Christel TCHATO
PI24001	SIAC	Boissons du Cameroun	Fourniture	900000	1	Lost	0	Terminé	Closed	Fourniture Fluke 1507	2023-01-03	Christel TCHATO
PI24002	SABC_Ndokoti	Boissons du Cameroun	Fourniture	9614760	1.6	Lost	0	Terminé	Closed	Pds Maitre Asi /Remplacement Des
Maitres Asi Donc Les Afficheurs Sont
Devenus Illisibles Impossible Le Lire Les
Defauts
	2024-01-04	Jean Bossango
PI24003	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	12827501	1.6	Lost	0	Terminé	Closed	Few items for INSTRUMENTATION 	2024-01-19	Benjamin N. Eteh
PI24004	SABC_Yaounde	Boissons du Cameroun	Fourniture	517696	1.6	3419104	1	Terminé	Closed	Commande SOS d'un dialogue opérateur pour
station RIA CP suite défectuosité de celui en
Marque service	2024-01-04	Jean Bossango
PI24005	SABC_Ndokoti	Boissons du Cameroun	Fourniture	391300	1.3	3422604	1	Terminé	Closed	Pour Branchement Des Nouvelles
Toilettes Mixte Et Prises (Mono Et
Marque Triphasee)
	2024-01-05	Cedric NGAKAM
PI24006	BOCOM 	BOCOM PETROLEUM SA	Fourniture	6105781	1.25	Lost	0	Terminé	Closed	Fourniture divers pour bureaux, barriere et autres DEPOT BANSOA	2024-01-18	Roland Takam
PI24007	GRACEDOM Souza	Gracedom Invest	Fourniture	1064340	1.4	Lost	0	Terminé	Closed	BARRAGES IMMATÉRIELS DE SÉCURITÉ	2024-01-11	LOOH NDI SONDO
PI24008	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	33026824	1.4	Lost	0	Terminé	Closed	PURCHASE OF BEARINGS	2024-01-05	Catherine TOTO
PI24009	SABC_Yaounde	Boissons du Cameroun	Fourniture	22443215	1.4	Lost	0	Terminé	Closed	REMPLACEMENT DES CELLULES VETUSTES A LA CENTRALE THERMIQUE 	2024-01-08	Rosine Kati
PI24010	SABC_Koumassi	Boissons du Cameroun	Fourniture	30286020	1.4	Lost	0	Terminé	Closed	REMPLACEMENT DES CELLULES MT VETUSTES DANS LES POSTES DE DISTRIBUTION D'ENERGIE ELECTRIQUE - KOUMASSI	2024-01-08	Rosine Kati
PI24011	SABC_Yaounde	Boissons du Cameroun	Fourniture	3519259	1.4	3424202	1	Terminé	Closed	REVISION 2024 COMMANDE LOCALE UBG YAOUNDE	2024-01-08	Jean Bossango
PI24012	SEMC	SEMC	Fourniture_Pose	435000	1	Lost	0	Terminé	Closed	ALIMENTATION RESISTANCE RESISTANCES BEC	2024-01-16	Rosine Kati
PI24013	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	731500	1	Lost	0	Terminé	Closed	Supply and Install AMPLIFIER and Maintenance of LOUD SPEAKERS	2024-01-07	Iloga Gerard
PI24014	SABC_Koumassi	Boissons du Cameroun	Installation	1564500	1.4	Lost	0	Terminé	Closed	Consultation pour Déplacements Coffret de Commande Pompe fosse chaine 4 et 5	2024-01-17	Basile DONNANG DONGMO
PI24015	SABC_Bafoussam	Boissons du Cameroun	Installation	356900	1.6	Lost	0	Terminé	Closed	REMPLACEMENT DES CONTACTEURS ET DISJONCTEURS +FICHE 3P+T SUR LES  25 TOD	2024-01-06	Anicet GHISLAIN FOKA
PI24016	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	270000	1.5	Lost	0	Terminé	Closed	SUPPLY OF FEW ITEMS	2024-01-15	Lambi Mandjeck
PI24017	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	0	1	Lost	0	Annulé	Closed	Supply of SOLVENT -LEIBINGER JET2 INKJET PRINTER - INSTRUMENTATION	2024-01-17	Benjamin N. Eteh
PI24018	SABC_Yaounde	Boissons du Cameroun	Fourniture	10124616	1.6	Lost	0	Terminé	Closed	BESOIN DES PR POUR CIRCUIT ASI PAL/DEPAL CH6	2024-01-17	Jean Bossango
PI24019	SABC_Yaounde	Boissons du Cameroun	Fourniture	7950983	1.4	Lost	0	Terminé	Closed	BESOIN CABLES CONNECTEURS POUR TRAVAUX ENTRETIEN CH6	2024-01-17	Jean Bossango
PI24020	SABC_Koumassi	Boissons du Cameroun	Installation	5899564	1.63	Lost	0	Terminé	Closed	POUR REMPLACEMENT URGENT INVERSEUR CIRCUIT ECLAIRAGE	2024-01-17	Basile DONNANG DONGMO
PI24021	SABC_Koumassi	Boissons du Cameroun	Fourniture	3780000	1.4	Lost	0	Terminé	Closed	POUR REMPLACEMENT URGENT CONTACTEUR CIRCUIT ECLAIRAGE	2024-01-16	Cedric NGAKAM
PI24021A	BOCOM 	BOCOM PETROLEUM SA	Fourniture	3780000	1.4	Lost	0	Terminé	Closed	MAINTENANCE INFORMATIQUE	2024-01-18	
PI24022	SOCAVER	Societe Camerounaise des Verrieries	Metrologie	2470000	1	3424420	1	Terminé	Closed	Verification Metrologique des EQUIPEMENTS DE MESURE ET DE SURVEILLANCE	2024-01-18	Thierry Ekendjoum
PI24023	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	876800	1.3	3435321	1	Terminé	Closed	CONSULTATION POUR DEPLACEMENT COFFRET DE COMMANDE POMPE FOSSE CHAINE 4 ET 5	2024-01-18	Romel Fopa
PI24024	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	33686624	1.5	Lost	0	Terminé	Closed	REALISATION D'UN BANC D'ESSAI POUR LE CENTRE DE FORMATION EX-BVS	2024-01-22	Hassan FOUAPON KOUOTOU
PI24025	SABC_Koumassi	Boissons du Cameroun	Fourniture	824000	1.6	OA3433140	1	Terminé	Closed	DEMANDE DE PRIX DA 3185581 / DEMARREUR PROGRESSIF	2024-01-23	Cedric NGAKAM
PI24026	SABC_Yaounde	Boissons du Cameroun	Fourniture	796092	2	Lost	0	Terminé	Closed	REMISE EN SERVICE DU MOTEUR PRE-ETIRAGE COMMANDE DU PANNEAU DE CONTRÔLE RCL240-4	2024-01-22	Rosine Kati
PI24027	SABC_Ndokoti	Boissons du Cameroun	Fourniture	3177785	1.4	Lost	0	Terminé	Closed	REVISION ANNUELLE 2024	2024-01-23	Cedric NGAKAM
PI24028	SABC_Garoua	Boissons du Cameroun	Fourniture	73380000	1.22	Lost	0	Terminé	Closed	ALIMENTATION ENERGIE ELECTRIQUE NOUVELLE LIGNE GAROUA	2024-01-24	Rosine Kati
PI24029	SABC_Garoua	Boissons du Cameroun	Fourniture	4641247	1.3	Lost	0	Terminé	Closed	ALIMENTATION ENERGIE ELECTRIQUE NOUVELLE LIGNE GAROUA	2024-01-24	Rosine Kati
PI24030	HBO_Clients	HBO	Divers	8350000	1.077	Lost	0	Terminé	Closed	Fourniture a Yaounde d'un touret de Cuivre Nu 185mm2 500m	2024-01-23	Brice Nyasse
PI24031	SOCAVER	Societe Camerounaise des Verrieries	Metrologie	2300000	1.9	Lost	0	Terminé	Closed	Verification Metrologique des EQUIPEMENTS DE MESURE ET DE SURVEILLANCE	2024-01-18	Thierry Ekendjoum
PI24032	SABC_Yaounde	Boissons du Cameroun	Fourniture	5760216	1.4	Lost	0	Terminé	Closed	COUPLEUR PROFIBUS DP/DP EN REMPLACEMENT DIU YAOUNDE	2024-01-24	Rosine Kati
PI24033	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	1651380	1.5	Lost	0	Terminé	Closed	Cable with straight plug	2024-01-25	Martin-Pierre DOOH
PI24034	SABC_Bafoussam	Boissons du Cameroun	Fourniture	1415765	1.3	Lost	0	Terminé	Closed	REVISION 2024 CH4 BAFOUSSAM PDR A COMMANDER EN LOCAL MARQUE PALL	2024-01-29	Jean Bossango
PI24035	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture_Pose	881660	1.3	CM42008684	1	Terminé	Closed	Maintenance of the Elect. workshop Rolling Door – ELECTRICAL	2024-01-29	Benjamin N. Eteh
PI24036	SIAC	Boissons du Cameroun	Fourniture_Pose	988500	1.26	3429888	1	Terminé	Closed	Travaux d'amelioration de l'éclairage bâtiment administratif	2024-01-31	Christel TCHATO
PI24037	SABC_Ndokoti	Boissons du Cameroun	Fourniture	6900860	1.34	Lost	0	Terminé	Closed	COMMANDE URGENTE DE CONNECTEURS, DE DISTRIBUTEURS ET DETECTEURS POUR Marque BESOIN AUX SILOS NDOKOTI	2024-02-01	Cedric NGAKAM
PI24038	SABC_Koumassi	Boissons du Cameroun	Fourniture	2024754	1.4	Lost	0	Terminé	Closed	Pour Upgrade programme automate CIP TOD pour stérilisation à chaud suivant demande DPQ	2024-02-01	Cedric NGAKAM
PI24039	SEMC	SEMC	Reparation	20196451	1	Lost	0	Terminé	Closed	DEMANDE D'OFFRE POUR ENTRETIEN ANNUEL DES CLIMATISEURS ARMOIRES ELECTRIQUES	2024-01-31	Rosine Kati
PI24040	GRACEDOM Souza	Gracedom Invest	Fourniture	1250328.32	1.32	Lost	0	Terminé	Closed	Kit Etalonnage detecteur fixe NH3	2024-02-05	LOOH NDI SONDO
PI24041	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	1680402	1.4	CM40006408	1	Terminé	Closed	EBMPAPST RG130/0800-3612-010201 RADIAL BLOWER	2024-02-08	Benjamin N. Eteh
PI24042	SABC_Ndokoti	Boissons du Cameroun	Fourniture	3714900	1.5	Lost	0	Terminé	Closed	PR DISJONCTEUR CONTACTEUR PASTEURISATEUR LIGNE 14	2024-02-08	Cedric NGAKAM
PI24043	SABC_Koumassi	Boissons du Cameroun	Fourniture	7003164	1.4	Lost	0	Terminé	Closed	Transmetteur de temperature 4-20mA	2024-02-08	Romel Fopa
PI24044	DIXSTONE	Dixstone Operations Cameroun	Fourniture	3022292	1.39	Lost	0	Terminé	Closed	DIXSTONE MR-1130-DOS - Matériel IT pour Câblage réseau	2024-02-14	Alex Amoutse
PI24045	SABC_Ndokoti	Boissons du Cameroun	Fourniture	2794800	1.5	Lost	0	Terminé	Closed	Commande de projecteurs led 200W pour besoin aux silos ndokoti	2024-02-14	Cedric NGAKAM
PI24046	DANGOTE_Dla	DANGOTE CEMENT SA	Fourniture	1884000	1.4	CM40006441	1	Terminé	Closed	DCC 240050 - COMPRESSOR, VR144KSE-TFP-522	2024-02-14	Benjamin N. Eteh
PI24047	SABC_Koumassi	Boissons du Cameroun	Fourniture_Pose	6160394	1.33	Lost	0	Terminé	Closed	Mise en conformité de notre station préparation CIP brassage	2024-02-09	Romel Fopa
PI24048-1	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-01-01	François Atangana
PI24048-10	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-06-02	François Atangana
PI24048-11	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-06-02	François Atangana
PI24048-12	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-06-02	François Atangana
PI24048-2	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-02-01	François Atangana
PI24048-3	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-03-01	François Atangana
PI24048-4	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-04-01	François Atangana
PI24048-5	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-05-01	François Atangana
PI24048-6	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-06-01	François Atangana
PI24048-7	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-06-01	François Atangana
PI24048-8	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-06-02	François Atangana
PI24048-9	SABC_Ndokoti	Boissons du Cameroun	Placement_RH	1000000	1.3	3421827	1	Terminé	Closed	COMMANDE ANNUELLE OUVERTE SUR L'ANNEE: JAN-DEC 24 (Electricien Instrumentiste)	2023-06-02	François Atangana
