Devis_ID	Unité	Client	Type_Travail	Montant_HT	Coefficient	Numéro_OA	Count_OA	Statut	État	Description	Date_RFQ	Acheteur
PI25405	SABC_Bafoussam	Boissons du Cameroun	Placement_RH	0	1	regul	1	Terminé	Closed	Main d'oeuvre révision CH5 prévue du 11 au 24 aout 2025	2025-08-11	Cheugoua Rommel
PI25406	SABC_Koumassi	Boissons du Cameroun	Fourniture	2990680	1.6	Lost	0	Terminé	Closed	Caisse a outils Electricien	2025-08-11	Christel TCHATO
PI25252	SABC_Garoua	Boissons du Cameroun	Fourniture_Pose	0	1	3538980	1	Terminé	Closed	DEMANDE D'OFFRE POUR MATERIEL NOUVEAU MPC GAROUA	2025-05-28	Rosine Kati
PI25407	SOCAPALM_Eseka	SOCAPALM	Audit	1077700	1	Lost	0	Terminé	Closed	Vérification des installations électriques (coffret et MALT)	2025-08-12	Anne Chantal Ngo Ngidjol
PI25408	SABC_Bafoussam	Boissons du Cameroun	Fourniture	0	1	Lost	0	Terminé	Closed	MATERIEL ECLAIRAGE LIGNES 4 & 5 BAFOUSSAM	2025-08-15	Rosine Kati
PI25409	BOCOM 	BOCOM PETROLEUM SA	Fourniture	9408480	1.63	Lost	0	Terminé	Closed	fourniture couvercles chemins de câbles	2025-08-12	
PI25410	BOCOM Industry	BOCOM Industry	Fourniture	19235500	1.55	Lost	0	Terminé	Closed	fourniture câble souple blindé 5G120 mm2	2025-08-12	
PI25411	BOCOM 	BOCOM PETROLEUM SA	Installation	698600	1.47	Lost	0	Terminé	Closed	Installation batterie de condensateurs	2025-08-18	
PI25412	SABC_Yaounde	Boissons du Cameroun	Fourniture	0	1	Lost	0	Terminé	Closed	DEMANDE DE PRIX MATERIELS POUR LA SUITE DES TRAVAUX  DE MISE LA TERRE DU GF CLAUGER YAOUNDE	2025-08-18	Rosine Kati
PI25413A	SABC_Bafoussam	Boissons du Cameroun	Fourniture	1032659	1.6	Lost	0	Terminé	Closed	REMPLACEMENT DES RELAIS 
STATIQUES DEFECTUEUX DANS L'ARMOIRE 
DE LA TORCHERE	2025-08-18	Alain Serge NOUNY NGASSAM 
PI25414	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	7314944	1.6	767	1	Terminé	Closed	Réapprovisionnement de stock	2025-08-19	Leo SIKATI
PI25415	SABC_Ndokoti	Boissons du Cameroun	Fourniture	2700000	1	Lost	0	Terminé	Closed	Console d'automatisme et d'instrumentation pour la nouvelle ligne 15	2025-08-20	Cedric NGAKAM
PI25416	SABC_Garoua	Boissons du Cameroun	Fourniture	1606016	1.6	Lost	0	Terminé	Closed	MINI PC BRASSAGE GAROUA	2025-08-20	Rosine Kati
PI25417	SOCAVER	Societe Camerounaise des Verrieries	Fourniture	2984328	1.5	Lost	0	Terminé	Closed	MODULE DE FREINAGE POUR LIGNE DE TRAITEMENT GROISIL	2025-08-20	Philemon SANDJONG TCHAZOU 
PI25418	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	0	1	Lost	0	Terminé	Closed	FOURNITURE MATERIEL ELECTRICIEN	2025-08-20	Leo SIKATI
PI25419	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	0	1	Lost	0	Terminé	Closed	FOURNITURE PERCEUSES ET ACCESSOIRES 	2025-08-20	Leo SIKATI
PI25420	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	1764963	1.4	Lost	0	Terminé	Closed	FOURNITURE TRANSPONDEUR ET APPAREIL DE DIAGNOSTIQUE	2025-08-20	Leo SIKATI
PI25421	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	378000	1.5	766	1	Terminé	Closed	FOURNITURE TESTEUR INJECTEUR	2025-08-20	Leo SIKATI
PI25422	NeoIndustry_Kekem	NEO INDUSTRY SA	Fourniture	0	1	Lost	0	Terminé	Closed	FOURNITURE VANNES ET ACCESSOIRES	2025-08-20	Leo SIKATI
PI25423	SABC_Bafoussam	Boissons du Cameroun	Fourniture	0	1	Lost	0	Annulé	Closed	FOURNITURE 02 MOTO VENTILATEURS POUR MOTEURS 3KW SEW	2025-08-20	Joseph DJIEUBOU 
